Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
21	0.9549413	1.3030294	4.1666355	-0.4034549	3.033356	2.489606	7.291307	0.0	1000.0	829.5776	0.0047135089527476914	0.047695473	0.17032027	0.45339382	-0.49218926	0.4431167	0.42958498	2.9635127	-0.12535962	-0.008436178	-0.020359218	0.06525583	-0.008201543	-0.04462929	0.19769327	1.9635127	-0.1	1.6071943	0.52838117	2.932227	0.48376554	0.08098638	-0.04423486	0.45462158	-0.09257972	-0.008436176	-0.0046267593	79.0	1.5490141	0.00916391	176000	620.2663023471832
22	-0.4801239	1.415843	2.5267038	-2.8519795	0.56729025	1.5009089	4.538322	0.0	1000.0	834.1159	0.00453323861827021	0.017744591	0.26624572	0.76262915	-0.54097074	0.050710075	0.30976167	3.0890775	-0.426459	0.0028823728	-0.023196282	0.12840544	-0.022624768	-0.091633804	0.09561157	2.0890775	-0.1	1.4014697	0.50129616	2.700698	0.4514251	0.09261872	-0.055385306	0.084226795	-0.03864198	0.0028823512	-0.0005642802	79.0	1.5300165	0.009278051	184000	649.2054629325867
23	0.0806311	1.972969	4.1823964	-2.836449	3.0940738	4.1980796	12.989616	0.0	1000.0	858.86847	0.004473273277282715	0.035397638	0.13167673	0.44461823	-0.49308038	0.17702289	0.24774854	2.1083066	-0.1712411	0.0024468042	-0.018371068	0.1093061	-0.023261204	-0.092283115	0.067589276	1.1083066	-0.1	1.1824973	0.46545795	2.5221908	0.3904247	0.09596384	-0.016259864	0.52424634	-0.19163018	0.002446804	-0.0015051134	79.0	1.5191181	0.008161123	192000	677.9853265285492
24	0.26033312	0.96241134	1.3366055	-0.90105057	5.460991	7.457096	23.392889	0.0	1000.0	902.5564	0.004512781982421875	-0.013652709	0.20794359	0.42865157	-0.64478666	0.3520559	0.525127	4.596263	-0.33726048	-0.0058906004	-0.025369044	0.028790317	-0.004491981	-0.03517537	0.28362617	3.596263	-0.1	0.9350157	0.40681094	2.2976713	0.3253186	0.06842165	-0.021420106	1.1220163	-0.4012689	-0.0058905603	-0.004944239	79.0	1.4943833	0.010940733	200000	706.7346596717834
25	0.119956404	0.8860468	1.795709	-1.454708	2.1201482	5.0715375	15.480993	0.0	1000.0	919.5176	0.004420757587139423	0.001123455	0.1638297	0.34117976	-0.542237	0.28998157	0.45695075	2.2279375	-0.61406696	0.0044264137	-0.0234366	0.044304557	-0.006005835	-0.06032726	0.14765814	1.2279375	-0.1	0.79667836	0.3644163	2.0594127	0.30342928	0.05766349	-0.022701394	0.7593908	-0.31510532	0.004426423	-0.0018284325	79.0	1.5002776	0.009491667	208000	736.031895160675
26	0.19195834	0.82509065	1.0285993	-1.5288353	7.300728	10.270553	33.18707	0.0	1000.0	977.9234	0.004527423152217158	-0.020375215	0.14764571	0.39222538	-0.508751	0.73454887	0.95527405	5.7732935	-0.90408915	-0.005671941	-0.029929452	-0.16952223	-0.08142674	0.21695387	0.62666947	4.7732935	-0.1	0.71510345	0.3368856	2.0354226	0.2829947	0.047757577	-0.008729212	3.4157722	-1.1240685	-0.0056719324	-0.012336803	79.0	1.4626309	0.010921884	216000	764.9902255535126
27	0.38713515	0.6994028	1.5483183	-0.56019044	5.102211	10.078643	30.10515	0.0	1000.0	1018.7411	0.004547951289585658	-0.041027628	0.14099625	0.32135034	-0.39053008	0.32646674	0.6604624	4.097923	-0.9590963	0.0059486995	-0.030213347	-0.0028369213	-0.0020063766	-0.0007738533	0.29774433	3.0979228	-0.1	1.0491972	0.39394146	2.3164814	0.37017396	0.04143271	-0.020190198	1.8606166	-0.860958	0.0059486874	-0.01246842	51.0	1.4690704	0.012400906	224000	792.382819890976
28	0.41352984	1.0226487	1.5084573	-1.2722877	7.961247	15.066636	46.58408	0.0	1000.0	1082.431	0.00466565099255792	0.038788814	0.14027886	0.489255	-0.3248405	0.7154455	0.96221495	5.831372	-0.6449182	-0.0047387886	-0.02409202	-0.23659664	-0.035247475	0.18394426	0.6772415	4.831372	-0.1	1.1991869	0.4187533	2.3733068	0.42105982	0.04675097	-0.0152407065	3.7132146	-1.214262	-0.0047387704	-0.0128240865	35.0	1.425976	0.012245846	232000	819.4462740421295
29	0.8776604	1.0627435	2.2446203	-0.7048836	13.554305	19.249578	56.462048	0.0	1000.0	1190.8655	0.0049619394938151045	0.007932468	0.17887375	0.4955721	-0.42811298	0.5883822	0.7717187	5.9642487	-0.96326405	0.024868207	-0.02151153	-0.09605287	-0.0072352886	0.067305155	0.48101604	4.9642487	-0.1	1.3740127	0.45244783	2.582632	0.4709742	0.05370413	-0.023788719	12.194604	-7.672188	0.024868231	-0.02295294	13.0	1.4241545	0.013785315	240000	845.6053864955902
30	0.045691818	1.2158399	1.9379132	-1.4341369	5.998406	15.870291	47.987247	0.0	1000.0	1238.8528	0.004995374125819053	0.07875143	0.17444742	0.5850918	-0.39335343	1.3596424	1.345516	7.6861258	-0.8808694	0.018388702	-0.017113449	-0.9645315	-0.16200727	0.6572207	1.094009	6.6861258	-0.1	1.4577883	0.47315964	2.5995479	0.5301001	0.08060803	-0.030855183	5.765256	-4.315564	0.018388696	-0.013328837	17.0	1.4207113	0.013795426	248000	872.7271564006805
31	0.79902184	0.6752066	2.014644	-0.19232666	0.6214882	0.73492616	2.1952248	0.0	1000.0	1243.8247	0.0048586902618408204	0.031250175	0.09972535	0.3843439	-0.22452648	0.90509737	2.0993943	8.442893	-2.0810835	-0.024383174	-0.0072174836	-1.2577206	-0.08744192	0.70777845	1.5842181	7.442893	-0.1	1.7331358	0.4897331	2.887416	0.61481744	0.0369413	-0.0108422525	3.9571192	-3.4803283	-0.024383167	-0.0059009474	3.0	1.4047832	0.007837311	256000	899.3480787277222
32	0.39112508	1.1232731	2.1272905	-1.1594354	4.971819	6.5455594	15.628715	0.0	1000.0	1283.5992	0.004862118345318418	0.05574309	0.12370858	0.38110635	-0.23607716	0.28209633	0.2888935	2.4242923	-0.7097097	-0.008273067	-0.031354956	0.17303595	0.03176312	-0.09383237	0.054022256	1.4242923	-0.1	1.8329514	0.5023392	2.9517832	0.6509367	0.05121659	-0.02298007	1.4660336	-0.31477702	-0.00827311	-0.017585002	48.0	1.4012253	0.012243786	264000	926.3900368213654
33	0.7976864	1.0650635	2.6068573	-0.7905463	6.2929163	10.045997	29.830997	0.0	1000.0	1333.9425	0.004904200385598576	0.06413195	0.14303747	0.59497035	-0.29281706	0.58016616	0.1963985	3.560714	-0.12394821	0.014798022	-0.006812324	0.20055136	-0.0003466457	-0.09320728	0.06739895	2.560714	-0.1	2.1507933	0.5113709	3.2304966	0.73973495	0.035102617	-0.015343472	3.96696	-0.29809833	0.014798117	-0.005373935	2.0	1.4131988	0.0099485	272000	952.5485548973083
34	0.97537315	1.3277026	2.890137	-1.7496101	17.304861	36.00199	111.22479	0.0	1000.0	1472.3815	0.005258505249023437	0.06346863	0.2004162	0.54195064	-0.44825667	0.8008174	0.48332897	5.1603637	0.093058825	-0.033908058	-0.010197893	-0.13289014	5.583465e-05	0.04343656	0.3462946	4.1603637	-0.1	2.175203	0.50742024	3.289684	0.7760795	0.042227473	-0.024122762	25.223696	-13.42765	-0.033908043	-0.011129361	2.0	1.4131243	0.007574645	280000	978.9980072975159
35	0.23396462	1.0945851	2.3731523	-1.0686878	2.6623964	3.24803	9.071469	0.0	1000.0	1493.6807	0.005186391194661458	0.13722052	0.13837723	0.570879	-0.28058496	0.85579723	2.582394	12.003347	-2.4900339	-0.011113064	-0.009402845	-1.9540246	-0.011345506	0.85288507	1.9559767	11.003347	-0.1	2.1811054	0.51963204	3.337147	0.7162343	0.06229689	-0.03895296	5.127963	-4.241495	-0.011113081	-0.014570087	2.0	1.4125721	0.014314335	288000	1005.2809948921204
36	0.40333375	0.9201926	1.5076511	-1.030031	0.69653755	1.0825127	2.8770287	0.0	1000.0	1499.2529	0.005065043681376689	-0.014239905	0.1393437	0.6533488	-0.3954631	0.52350146	0.5701203	4.6598206	-1.1135585	0.0041339034	-0.029287849	0.017671032	-0.001515286	-0.008693728	0.31429443	3.6598206	-0.1	2.2182558	0.50578046	3.3625715	0.7765955	0.03775328	-0.012393784	0.61468685	-0.4763295	0.004133902	-0.0138591435	78.0	1.4115992	0.012212149	296000	1033.9812741279602
