Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
21	3.304268	2.6925492	8.087681	-0.64896834	6.070355	5.9403214	16.001461	0.0	1000.0	1776.2717	0.010092453002929687	0.36577922	0.4836559	1.9028336	-1.3453094	0.63189	1.2745385	7.96569	-0.83180004	-0.023843024	-0.0058942866	-0.80376977	0.0026445389	0.1887587	0.9961405	6.96569	-0.2	4.1491013	0.7877965	5.073699	1.4317477	0.15102576	-0.020570055	0.9023008	-0.28740835	-0.023843022	-0.014071887	4.0	1.7450635	0.016568001	176000	386.42805671691895
22	2.416395	3.6685877	6.357094	-5.5004783	1.3426921	2.4115462	7.5065846	0.0	1000.0	1787.0133	0.009712028835130775	0.3779733	0.46321756	1.9487575	-1.3851084	0.2818661	0.7105374	5.161659	-0.5140343	-0.007836287	-0.019751202	0.2629236	-0.010374606	-0.061631616	0.4626364	4.161659	-0.2	4.128191	0.78909886	5.0266943	1.4049731	0.21765897	-0.047702402	0.39573613	-0.21861032	-0.007836268	-0.014877233	79.0	1.7428944	0.0109302085	184000	404.4748361110687
23	2.0754566	2.2884192	6.498555	-0.4604369	4.5308633	4.280593	12.288847	0.0	1000.0	1823.2603	0.00949614715576172	0.30637023	0.5865954	2.103234	-2.0834286	0.19882537	0.34378505	3.73014	-0.23139244	0.017315999	-0.028275749	0.68315107	-0.029599845	-0.1702915	0.16194849	2.73014	-0.2	3.956542	0.77570206	4.9157696	1.3187267	0.2124506	-0.06596339	1.0206699	-0.33087754	0.01731597	-0.021250393	49.0	1.7399943	0.012119739	192000	422.0280456542969
24	1.3181475	1.8545543	3.9240963	-2.0188491	2.8439767	3.1798518	8.9132595	0.0	1000.0	1846.012	0.009230059814453125	0.21234378	0.3801454	1.3448507	-1.215196	0.3820223	0.58141065	4.5249963	-0.24135882	-0.0077526164	-0.026093867	0.34617966	-0.018758655	-0.0932073	0.3697731	3.5249963	-0.2	3.8068721	0.7562306	4.75619	1.2080877	0.13247569	-0.031049252	0.4074284	-0.08949521	-0.0077526206	-0.017350461	54.0	1.7191725	0.01214674	200000	439.6402282714844
25	2.7581377	2.6631353	6.397092	-1.3371345	8.492043	8.3788185	22.413643	0.0	1000.0	1913.9484	0.00920167482816256	0.1696198	0.48816276	1.2749915	-1.861876	0.33959052	0.61459136	6.2024117	-0.19423813	0.00785372	-0.00852468	0.36329237	-0.0018139184	-0.10047834	0.43595353	5.2024117	-0.2	3.603165	0.77279186	4.500551	1.1312268	0.18524258	-0.056727037	3.5448053	-1.802462	0.007853724	-0.006846146	3.0	1.7104871	0.012934976	208000	456.5635185241699
26	2.669722	4.077917	10.78618	-2.996094	3.0162795	5.0936193	14.442194	0.0	1000.0	1938.0786	0.00897258617259838	0.2459188	0.5338187	1.5376714	-1.8420883	0.44189966	1.1505274	8.513221	-0.5715609	0.000732935	-0.003143833	-0.2728096	0.0005032718	0.07937378	0.9094167	7.513221	-0.2	3.6565766	0.7519942	4.5653987	1.0828948	0.11063448	-0.015399419	1.017833	-0.34660727	0.0007329446	-0.01404565	2.0	1.7102178	0.017072042	216000	473.55666184425354
27	2.8749092	4.721273	10.807031	-2.5526557	3.1235263	3.1404064	9.620833	0.0	1000.0	1963.0668	0.008763690948486329	0.34659842	0.53238314	1.8460652	-1.1644942	0.54018056	1.0221905	6.8110223	-0.37599236	-0.0014140393	-0.000162413	-0.26653382	0.00037634373	0.072430834	0.80571043	5.8110223	-0.2	3.5570903	0.7754009	4.5182247	1.0548089	0.1692884	-0.03727296	0.5713847	-0.26511988	-0.0014140406	0.0005115581	2.0	1.7100265	0.016322799	224000	490.56592297554016
28	0.92903113	3.2859519	5.2581105	-4.144587	6.739705	8.793007	28.885914	0.0	1000.0	2016.9845	0.008693898694268589	0.10351446	0.48131773	1.6902754	-1.2349087	0.3185025	0.6807512	5.4424133	-0.24609587	-0.011906185	-0.025083724	0.2663319	-0.0043103695	-0.06729353	0.43799442	4.4424133	-0.2	3.723179	0.72682244	4.523777	1.1291652	0.10331578	-0.028060809	2.8153162	-1.7193496	-0.011906196	-0.027356487	26.0	1.7100148	0.013364379	232000	507.83551502227783
29	3.564776	3.0195713	7.628405	-1.1694701	2.200653	3.2634726	10.043785	0.0	1000.0	2034.5897	0.008477457173665364	0.23718226	0.4938247	1.3817866	-1.6303049	0.46937147	1.0464822	7.1009474	-0.52716935	-0.0009153524	-0.023699628	-0.30174765	-2.6404858e-05	0.08867363	0.763038	6.1009474	-0.2	3.5704691	0.7616168	4.4255013	1.0555168	0.16568722	-0.05464162	1.1192952	-0.6898317	-0.0009153385	-0.024641007	22.0	1.7145268	0.012717	240000	524.9526278972626
30	1.9750624	3.3662236	10.401079	-1.4166913	2.5051866	3.4607263	9.971235	0.0	1000.0	2054.631	0.008284802836756552	0.27113995	0.45833704	1.5247467	-1.3794203	0.23556961	0.20660543	2.1191387	-0.16653542	0.013907167	-0.020728191	0.6876152	-0.059113503	-0.19309488	0.060176484	1.1191387	-0.2	3.5720675	0.76070476	4.4669333	1.0334473	0.1558891	-0.029690027	0.44079602	-0.07904351	0.013907185	-0.008621672	79.0	1.7046111	0.008593259	248000	543.0026023387909
